english	manx_translations
lanceolated warbler	kiaulleyder shleiyagh
land-and-loan deal	dellal thalloo-as-eeasaght
landfill site	ynnyd lhieeney-thalloo
landing slots	ammyryn cheet neose
Landlord's Croft	Croit Fer Thie
landscape garden	garey cheer-yallooagh
landscape gardener	gareyder cheer-yallooagh; jallooder-thallooin
landscape painter	peinteyr reayrtyn cheerey
landscaping the Island	cummey thalloo yn Ellan
land surfaces	eaghtyryn thallooin
land surveyor	towsheyder thallooin
land two years ploughed	ceabbagh
lang syne	foddey er-dy-henney; shenn laghyn
language acquisition	cosney stiagh glare
language laboratory	chengeylan
languid person	lambane
Lapland bunting	pompee Laplannagh; pompee Loghlinagh
Lapwing Enclosure	Close ny Eairkan
Larch Hill	Cronk Lhiarrag
larch wood	fuygh larshagh
lard jug	podjal smarree
large grey lichen	cleaysh lheeah
large in circumference	riurid
large salient eyes	boghooillyn mooarey
large snowball	muc niaghtee; thummid sniaghtee
large snowflake	keshag
laser optics	cullee-laser reayrtoil
latent heat	chiass follit
lateral liquid	fliughid lhiattagh
lathe centre	laare gheilley
laughing jackass	snoggeyder mooar
Laurel Bank	Broogh Laurys; Balley ny Hawin; Cronk ny Keeilley
Laurel House	Thie Laurys
lavatory pan	saagh premmee
lavender water	ushtey lavander
lawn tennis	laddoge
lawyer's fee	leagh leighder
lay evens	cur lieh er lieh
Lazy Person's Croft	Croit y Drammag
lead acetate	shugyr leoaie
lead colic	chingys leoaie
lead monoxide	clagh argid
lead-out train	strane-leeideilys
lead oxide	leoaie yiarg
leakage detector	brahder skeayllee
leaky shoes	braagyn brisht
learning zone	kerroo ynsee
Lea's Enclosure	Close Lea
leashed hounds	coyin yeealit
least sandpiper	leayrane minniagagh
leather bootlace	yeeal vraagey
leather upholstery	coodagh liareagh; coodagh liarey
ledger line	linney ghiare
ledger stone	clagh oaie
Leece's Enclosure	Close Leece
Leece's Farm	Balley Leece
Leece's Fold	Bwoaillee Leece
left handedness	cleeid; kiuttaght; toshtalaght
legal aid practitioners	leighderyn
legal arguments	arganeyn leighagh
legal practitioner	fer leigh; leighder
legislative body	coyrle slattyssagh
Legislative Buildings	Troggalyn Slattyssagh
Legislative Council	Coonceil Slattyssagh; Choonseil Slattyssagh
leg of contest	bangan
Leigh's Farm	Balley Leigh
Leisler's bat	craitnag Leisler; Leisler
Ir. Liatroim	Lheeahtrim
lemon cheese	groo limon
lemon curd	groo limon
lemon sole	liehbaig gheinnee; liehbaig veein
lemon squash	jough limon; soo-limon
lemon squeezer	faasteyder limon
lemon tree	billey limon
lens hood	bayrnag hooillag
lens of glasses	speckleyr
Leonard's Chapel Croft	Croit Cabbal Leonard
Leonard's Croft	Croit Leonard
Leonard's Hump	Druin Lenny
Leot's Farm	Leodest
Leot's Farm Road	Giat Leodest
lesser crested tern	sternag chereenagh veg
lesser duckweed	mac-gyn-ayr
lesser forkbeard	goayrag
lesser kestrel	stannair ruy beg
lesser white-fronted goose	guiy skead beg
lesser whitethroat	fynnag veg; scoarnagh vane veg
lesser yellowlegs	goblan buigh beg
lethal blow	builley baaish
lethal chamber	shamyr vaaish
Level Enclosure	Close Rea
Level Turbary	Rea Voanee; Moanee Rea
Lewin's Shieling	Eary Lewin
Lewis gunner	leuys-ghunneyder
Lezayre Landscapes Limited	Cummaghyn-thallooin ny h-Ayrey Chiarmaanit; Cummaghyn-thallooin Skylley Chreest ny h-Ayrey Chiarmaanit
Lheaney Road	Bayr y Lheeannee
liaison officer	fer oik kiangle
Libyan Desert	Faasagh ny Libya
licensed dealer	delleyder as kiedoonys ec; delleyder kiedoonit
licensed house	thie oast
licensed victualler	lught ny thieyn oast; oasteyder; oasteyr
licensing act	slattys oastey
licensing court	quaiyl-chied
licensing deal	dellal-kied
Lichen Cliff Hole	Towl Eaynin y Ruyghey
lichen heath	reeast scryss
lie detector	brahder breagyn; cronneyder breagyn
lieutenant colonel	aachernyl
life expectancy	jerkallys-vea
lifting magnet	magnaid hroggal
light-headed person	kione eairkanagh
light-lodged corn	spattan
lightning arrester	bac tendreil
lignum vitae	billey ny bea; fuygh ny bea
Lime Enclosure	Close yn Eayl
limiting factor	cooid lhiettalagh
linden tree	billey theiley
line engraving	grainney linnagh
linen draper	lieeneyr
line spacer	scarthane
lingua franca	eddyr-hengey; ghlare chadjin
lining of eggshell	lheiney veg
linotype operator	clouscreeudeyr; linneychlouder
linseed meal	meinn rass
linseed oil	ooill rass lieen
lipid bilayer	daa-vrat lipaidagh
lip of jug	gob
liquid petroleum gas	gas pedryl ushlagh
liquorice stick	maidjey liggrys; maidjey millish
literary garbage	trouise
little auk	alk beg; awk veg; coltrag veg
little crake	eean raip beg
Little Cumbrae	Cumrey Beg
Little Doweries	Togharaghyn Beggey
Little Enclosure	Close Beg
Little Gelling's Croft	Croit Gellin Beg
little grebe	eean kereen beg; greeb beg
Little High Lakelet	Ard Loughan Veg
Little Homestead	Balley Beg
Little Javelins	Mannisyn Beggey
Little Lakelet	Loughan Veg
Little Nan's Hill	Cronk Nan Veg
Little Osier Shrubbery	Garee Veg ny Slatt
little reef	skerrane
little ringed plover	feddag fainnagh veg
Little Shieling	Eary Beg
Little Shrubbery	Garee Veg
little stint	leayrane beg
little tern	gant beg; sternag veg
Little Tom's Croft	Croit Thom Beg
Little Turbary	Monell
little whimbrel	crottag houree veg
littoral zone	cryss y chladdee
livelong day	laa bane
livery company	keird-cholught
living expense	argid bea
Ljotr's Glen	Dayl Liot
Pairk Llewellyn	Jeeagh
loading in bulk	lughtaghey er y vooarchur
lobe of the ear	babban ny gleaysh
local anaesthetic	anloaghtan; sthoo kyrloghee
local broadcaster	creeleyder ynnydagh
local councillors	coonceilee ynnydagh
local firms	colughtyn ynnydagh
locally anaesthetize	anloaghtaghey; anloaghtee
local railways	raad yiarn ynnydoil
Loch Gilphead	Kione Loch Gilp
Lochlainn's Hill	Knock y Lochlainn
Loch Leven	Logh Lhiouan
locking up	glassagh
locum tenens	ynnydee
lodger for short time	jiulean
Lodinn's Farm	Byllown
Logan's Wasteland	Reeast Logan
Lonan Gentleman's Fellowship	Co-heshaghtys Dooinney Seyr Lonan
lone wolf	fer lomarcan
lone woman	ben lomarcan
long-bearded oats	corkey taghyrt
long-billed dowitcher	dowuit; her gob-liauyr
long-eared bat	craitnag eairkagh
long-eared owl	hullad eairkagh; kione kiyt
Long Enclosure	Close Liauyr
longings of women	foddeeaght vraane
longitude of ascending node	dowan-liurid y noad ardjeeagh
longitudinal section	fodyiarrey; giarrey liauyr; liauyr-yiarrey
long-playing record	kereneen liauyr
long-range forecast	faaishnys foddey
Long Shieling	Eary Liauyr
Long Shrubbery	Garee Liauyr
long-tailed duck	thunnag ammanagh
long-tailed skate	peegagh
long-tailed skua	maarliagh fammanagh
long-tailed tit	myntan arbyl-liauyr
long-tailed titmouse	caillagh veg yn arbyl; eean beg yn amman
long-tailed wig	mwashag fammanagh
long-toed stint	leayrane mair-liauyr
Lookout Turbary	Moanee Hoaness
look sideways	jeeaghyn ny yei lieckan
Looney's Lower Ground	Thalloo Looney Heese
Looney's Stile	Keym Looney
Looney's Upper Ground	Thalloo Looney Heose
loose-leaf album	albym duillag-skeaylt
lord of the manor	chiarn ny cheerey
Lord paramount	ard-chiarn
Lord's Enclosure	Close Rea; Close Chiarn
Lough Anure	Logh yn Euar
Lough Neagh	Logh Nay
love philtre	jough ghraih
low-class people	scran
Lower Enclosure	Close Heese
lower epidermis	epiderm s'inshley
Lowey's Croft	Croit y Lowey
lubricating oil	ooill smarree
lucrative markets	margaghyn leaghar
luggage label	lipaid scudlee
Luke's Rock	Creg Luke
lumber along	stravaagey; vroddey roish
lumber jacket	cooat keylley
lumber mill	mwyllin fuygh
lumber room	shamyr voanlagh
lumber yard	close fuygh
Lumpy Enclosure	Close ny Gramman
lunar eclipse	dhooag-eayst
lunar month	mee ny heayst; Mee ny re
lunar new year	blein noa ny h-eayst
lunar probe	scutag eayst
lunar year	blein ny h-eayst
lunatic asylum	thie baanrit
lunatic fringe	lught yn ommidjys
luncheon voucher	tiggad kirbyl
lyme grass	shaslagh frangagh; thaiane
lyre bird	lyrane
lyrical poetry	cronnaneys
MacAleyn's Hill	Cronk MacAleyn
macaroni cheese	macaroni as caashey
machine gunner	greie-ghunneyder; gunneyder jeshaght
machine operator	obbree jeshaght
mach number	mach-earroo
Machud's Church	Keeill Vout; Keeill Vachud; Keeill Vachut
Macmillan Cancer Relief	Couyr Kahngyr Macmillan
Mac Queeney's Farm	Balley Queeney
Maddrell's Farm	Balley Maddrell
Madeiran petrel	kirree varrey Vadeiragh
Madrell's Wood	Keyll Vaddrell
Magdalen's Fold	Bwoaillee Valaine
magic wand	maidjey obbee
magistrate's bench	caayr vriwnys
magistrate's court	quaiyl s'inshley
Magna Carta	Chiart Vooar
Magna Charta	Chiart Vooar
magnetic lag	cumrail vagnaidagh
magnetic variation	arraghys magnaidagh
magnificent frigate-bird	frigaid mooaralagh
magnifying lens	sooillag vooadee
magnolia warbler	kiaulleyder magnolia
magnum opus	ard-obbyr
mailed fist	laue lajer
mailing solutions	feayslaghyn postal
mail-order business	post-traght
main boom	croanscoidey ard
Maine Road	Raad ny Marrey
maize meal	meinn vuigh
major domo	fer thie mooar; meoir thie
major review	scrutaght vooar
making provision for the commencement of	kiarail son laa toshee
male sex	keintys firryn
Mally's Croft	Croit Vally
Mally's Hill Below	Cronk Vally Wass
Mally's Lower Hill	Cronk Vally Heese
Mally's Marsh	Curragh Vally
Maloney's Church	Kirk Maloney
malted milk	bainney braghee
Mananan Opera Festival	Feailley Kiaulldramey Vannanan
Mandarin duck	laagh Vandragh
mangel wurzel	beetys mooar
mangrove tree	billey mangrove
mangy dog	moddey screbbagh
mangy head	kione carragh
manicure set	foirran laue-yeshaghey
Mani's Farm Hill Meadow	Lheannee Totaby
Mani's Farm Knoll	Tosaby
Mani's Hill	Manowle
Manks Conservation Volunteers	Arryltee Choadee Vannin
man of nerve	dooinney trean
Manor Drive	Imman Mannor
Manor Hill	Cronk y Vannor
Manor Hotel Drive	Imman y Thie Oast
Manor Park School	Scoill Pairk y Vannor
Manor Woods	Keyll y Vannor
mantua maker	gooyneyder
manual labour	laue-obbyr; obbyr laue
manufactured goods	cooid jeant; jeantys
Manured Field	Magher Toar
Manured Ground	Thalloo ny Eoylley
manured with seaweed	famlit
Manx Accredited Construction Scheme	Skeim Troggal Barrantit Vannin
Manx Amateur Drama Federation	Conastey Drama Amateyragh Vannin
Manx Ancestry Centre	Ynnyd Shennayraght Vanninagh
Manx Co-operative	Co-obbraghey Vannin
Manx Early Alliance	Cochaarjys Bleeantyn-toshee Vannin
Manx Fish Producers Association	Sheshaght Troaryn-Eeastee Vannin
Manx Fish Producers Organisation	Reagheydys Troareyrys Eeast Vannin
Manx Forums	Forymyn Vannin
Manx Gaelic Advisory Council	Coonceil ny Gaelgey
Manx Geological Survey	Creearey Oayl-Thallooin Vannin
Manx Grand Prix	Grand Prix Vannin
Manx Grand Prix Festival	Feailley Grand Prix Vannin
Manx Grand Prix Practice Week	Shiaghtin Chliaghtee Grand Prix Vannin
Manx Grand Prix Race Week	Shiaghtin Ratchyn Grand Prix Vannin
Manx History Curriculum	Curriglym Shennaghys Vannin
Manx Loaghtan Marketing Co-Operative	Sheshaght Cho-obbragh son Margeeys y Loaghtan Manninagh
Manx National and Classical Music	Kiaull Ashoonagh as Classicagh Vannin
Manx National Farmers' Union	Sheshaght-cheirdey Ashoonagh Eirinee Vannin
Manx Operatic Society	Sheshaght Cloieyn-kiaullee Vannin
Manx perspective	baght Manninagh
Manx Telecom	Chellinsh Vannin
Manx Telecom Post TT Races	Ratchyn Lurg TT Chellinsh Vannin
Manx Telecom Rally	Rallee Chellinsh Vannin
Manx Telecom TV	Chellveeish Chellinsh Vannin
Manx Topside of Beef	Feill-Vart Cheu-Eaghtyragh Vannin
Manx Utilities Authority	Lught-Reill Bun-Shirveishyn Vannin
Manx Viking Wheelers	Queeyleyryn Wiggynnagh Vannin
Maol Breac	Meayll Breck
Map Gallery	Laare son Caslyssyn-; heerey
Marcus' Farm	Balley Varkish
Mardi Gras	Oie Innyd
mare's milk	bainney laairagh; The mare's milk is very sweet#
mare's nest	edd coar ny hastan; edd garran
mare's tail	geaysh ghoair; jeetrym jeeas; lus ny jeetrym jeeas
Margaret's Croft	Croit Vargaid; Croit Vargad
Margaret's Fold	Bwoaillee Vargad
marginal land	thalloo oirragh
marginal notes	imraaghyn oirragh; noteyn baghtagyn; noteyn oirragh
margin of the sea	oirr ny marrey
margin of the stream	marrooan; oirr y trooan
Maria's Field	Magher Maria
Marine Biological Station	Stashoon Bea-oaylleeaght Varrey
marine engineering	jeshaghteyrys lhuingey; jeshaghteyrys marrey
marine habitat	aahley; aajey
mariner's compass	airdeylagh
marine woodborer	dhiane lhuingey
marital status	stayd poosee
Mark's Church	Keeill Varkys
Mark's Croft	Croit Vark
Mark's Enclosure	Close Vark
Mark's Farm	Balley Varkys; Balley Vark
Mark's Farm Marsh	Curragh Balley Varkish
Mark's Meadow	Lheannee Vark
Mark's Pool	Dam Varkysh
Mark's Well	Chibbyr Varkysh
Markwell House	Thie Chibbyr y Vargee
marline spike	fidd; fidd yiarn; kibbin skelf
marram thatch	thoo shaslee; thoo shastagh
marriageable age	eash phoosee
marriageable girl	gounagh
Marriage and Civil Registration Act	Slattys Poosee as Recortyssey Theayagh
married couples	sheshaghyn-poost
marshals' bib	broghil-stiurt
marsh andromeda	lus ny moaintyn
marsh bedstraw	lus ny hawin
marsh bird's-foot trefoil	crouw chiyt ny gurreeyn; crouw-cheyt ny curreeyn
marsh cinquefoil	lus ny curreeyn
marsh foxtail-grass	famman shynnee; fiddag cham
marsh harrier	shirragh ny bogleeyn
marsh hog's-fennel	finnal ny raaidyn
marsh ledum	lossan voglagh
marsh lousewort	bainney goair; lus ny meeyllyn; lus volley
marsh mallow	leaghane; lus y tollan
marsh marigold	bullught; bwilloght
Marsh of the Shubbery	Curragh Garee
marsh sandpiper	leayrane ny curreeyn
marsh speedwell	foillycan curree
marsh titmouse	kione doo
marsh willow-herb	lus ny sheillee
Marshy Enclosure	Close y Churree
Martha's Gully	Gullad Martha
Martin's Church	Keeill Vartyn
Martin's Croft	Croit Varteen
Martin's Enclosure	Close Varteen
Martin's Farm	Balley Vartyn; Balley Varteen
Martin's Field	Magher Martin
Martin's Fold	Bwoaillee Vargeen
Mary's Church	Keeill Woirrey; Keeill Moirrey
Mary's Church Farm	Balley Keeill Moirrey
Mary's Fold	Bwoaillee Voirrey
Mary's house	Thie Voirrey
Mary's Road	Bayr Woirrey
Mary's Well	Chibbyr y Woirrey; Chibbyr Voirrey
masked ball	daunse far-eddin
Masonic lodge	crouw
Masonic temple	chiamble masoonagh
mass production	mooar-yantys
mass server	guilley erin; cleragh
master's certificate	teisht vainshtyr
mastic tree	billey masthag
matrix multiplication	yl-raghey matricks
Mat's Shrubbery	Garee Mat
Matthias' Church Croft	Croit Keeill Vian
maudlin drunk	scooyrit malaine
Maughold's Well	Chibbyr Vaghal
Maundy Thursday	Jerdein Caisht
Ir. Maigh Eo	May Eo
Mayoress of Douglas	Ben-veoir jeh Doolish
McAllen's Fold	Bwoaillee Callen
McAweey's Croft	Croit McAweey
McBoy's Farm	Balley Boy
McCoag's Farm	Balley McCoag
McDannell's Hill	Tolt y Goonell
McEmall's Land	Thalloo Vac Emmal
McFayle's Enclosure	Close McFayle
McFayle's Quarter	Kerroo McFayle
McGawne's Croft	Croit McGawne
McGillowey's Farm	Balley Killowey
McGilpeder's Croft	Croit Peddyragh
McHonylt's Farm	Balley Whannell
McHonylt's Flat	Faaie Whannell
McInay's Farm	Balley Kinay
McJoughin's Land	Thalloo Mc y Joughin
McKie's Farm	Balley McKie
McKie's Farm Hollow	Lhag Balley Keigh
McKym's Farm	Balley McKym
McKym's Farm Flat	Faaie Balley Kymmey
McKym's Place	Kimmeragh
McPherson's Farm	Balley Fesson
McSayle's Croft	Croit Vac Sayle
McSayle's Meadow	Lheannee McSayle
McSayle's Waste	Reeast McSayle
McSayl's Road	Giat McSayl
McTaggart's Garden	Garey McTaggart
McTeare's Close	Close Mac y Teare
Croit Mc y Teare	mee; The man I wrote to hasn't yet answered meE; mish
Meadowbrook Gardens	Garaghyn Strooan y Lheeannee
meadow crowfoot	cass feeagh; spaag feeagh; spoag feeagh
Meadow Enclosure	Close ny Lheannee; Close Lheannee; Close ny Lheannagh
meadow foxtail-grass	fiddag
meadow pink	pink lheeannagh
meadow saxifrage	morrane
meadow vetchling	pishyr vuigh
Meayll Drive	Imman y Veayll
mechanical draughtsman	tayrneyder obbrinee
medial mutation	ceaghley meanagh
medical appointmen	quaaltys-lhee
medical appointments	quaaltyssyn-lhee
medical practitioner	ben lhee; fer lhee
medicinal herbs	lossreeyn lheihys
medicinal plant	blaa lheeys; lus lheeys
Mediterranean gull	foillan frangagh
Mediterranean Sea	Veanvooir
Mediterranean shearwater	scraayl vean-vooiragh
medium sized	lieh-vooar; meanagh
Member of the Legislative Council	Oltey yn Ardwhaiyl; O.A.; Oltey jeh'n Choonceil Slattyssagh
Members' Report	Tuarastyl ny h-Olteynyn
membrum virile	boid; bwoid
memorandum pad	blockan cooinaghan
menacing look	sturd
mendicant friar	braar boght
mental aberration	rouailtys aigney
mental alienation	shaghrynys inchyn
mental deficiency	gortey keeaylley; lag-hastaght
mentally deficient	lag-hastagh
mentally disordered	baanrit
mercantile law	leigh traghtee
merchant seaman	marchantagh; marrinagh
Merchant's Hill	Cronk y Varchan
messed up	brockit
messing up	murtaghey
meteor shower	frassyn dreigaghyn
meteor showers	frassyn dreigaghyn
metric system	aght meadragh
metric ton	thunney meadragh
mezzo forte	lieh feiyragh
mezzo piano	lieh feagh
mhellia supper	shibbyr ny meailley
Michaelmas daisy	lus yn 'Eaill Vaayl; neaynin Vaayl
Michael's Cairn	Carn Vael
Michael's Church	Kirk Michell; Keeill Vael; Keeill Vichal
Michael's Church Farm	Balley Keeill Vial
Michael's Church Fold	Bwoaillee Keeill Vayl
Michael's Church Glen	Glion Keeill Vail
Michael's Church Lake	Loughan Keeill Vael
Michael's Croft	Croit Vichal
Michael's Enclosure	Close Michael
Michael's Hill	Tolta Mitchell
Michael's Isle	Inis Michil
Michael's Land	Thalloo Michell
Michael's Nook	Cooil Vichal
Michael's River	Awin Vitchel
Middle Enclosure	Close Meanagh; Close Mean
Middle Shrubbery	Garee Meanagh
middle sized	meanagh
Middle Turbary	Moanee Meanagh
Midges' Pool	Poyll Veeyl
military alliance	co-chaggeeaght; cochaarjys caggee; cochaggeeaght
military pact	conaant caggee
military tactics	tushtey caggee
milk jug	podjal bainney
milk vetch	crammelt millish
Millaghan's Farm	Balley Villaghan
Millan's Farm	Balley Millan
Millennium Room	Shamyr Ardeailley Tinvaal; Shamyr Meeilleash; Shamyr yn Villey Blein
Millennium Way Path	Cassan yn Veeilley Blein
Millennium Way Walk	Cassan yn Villey Bleeaney
Miller's Croft	Croit y Wyllaragh
miller's thumb	kione tramman; poltag
millet grass	faiyr milladagh
millet seed	rass millad; sheel millad
mince pie	pye mynrey
miniature camera	myn-hamraig
miniature garden	myngharey
mini-disc player	cloieder myn-jysk
minimum wage	faill sloo
Minister of Policy and Reform	Shirveishagh Polasee as Lhiasaghey
minister's pulpit	crannag y chirveishagh
minor amendments	lhiasaghey beggan
minute fraction	sleig
Mire of the Turbary	Curragh ny Moaney
miscellaneous amendments	lhiasaghyn mestit
missel thrush	lhon ny keylley; treshlen vooar
Mister Chairman	Chaairliagh
Misuse of Drugs Act	Slattys Drogh-ymmyd Druggaghyn
mixed berry brul	loshtag villish dy verrishyn mestit
mixed salad	sallaid meshtit
mizzen boom	croanscoidey jerree
mizzen mast	croan jerree
mizzen topgallant	baare-hiaull
modification kit	cullee-chaghlaaee
molar tooth	feeackle cheu chooylloo
molecular collision	covuilley moirvreneenagh
Molly Quirk's Glen	Glion Molly Quirk
molucca nut	cro sponk
monarch's ambassador	ree-chaghter
money changer	caghlaader argid; maylartagh argid
moneyed classes	lught yn argid
monkey gaff	brat-ghaff
monkey wrench	rinse gleashagh
Monk's Bridge	Chrossag
Monks' Court	Couyrt Maynaghyn
Monks' Croft	Croit Vaynaghyn
Monks' Division	Rheynn Vaynagh
Monks' Enclosure	Close ny Maynagh
Monks' Farm	Balley Maynagh
monk's hood	lus ny maynaghyn
Monks Lakelet	Loughan ny Maynagh
Monks' Mountain	Slieau ny Maynagh
monk's rhubarb	lus y taartys
Montague's harrier	clowan lugh
Monterey pine	juys lhean
moon jellyfish	gluddyr vreck; lubban breck
moon probe	ronsag eayst
Moore's Causeway	Cassey Moore
Moore's Croft	Croit y Voore
Moore's Enclosure	Close Moore
Moore's Farm	Balley Moore
